"Epoch","Error X","Error Y","Global Best X","Global Best Y"
1,5627.151246913212,7156.831298048564,-20.041576542304757,-3.6610180545273225
2,7515.540594782441,6313.715491189719,-19.979006746660325,-3.739024597028668
3,7355.434700530194,6182.467378868297,-19.96649278753144,-3.754625905528937
4,7208.609186859744,6050.046719157152,-19.963989995705663,-3.7577461672289907
5,7069.530524261766,5918.6709465621925,-19.96348943734051,-3.7583702195690014
6,6928.770682992371,5787.895183107147,-19.963389325667478,-3.7584950300370035
7,6791.856700029374,5658.447218172749,-19.963369303332872,-3.758519992130604
8,6662.023328478396,5535.160159419059,-19.963365298865952,-3.7585249845493243
9,6524.28215396655,5409.30297344547,-19.963364497972567,-3.7585259830330684
10,6391.869576837536,5289.898589873144,-19.96336433779389,-3.7585261827298173
11,6260.7440622626045,5166.915798213663,-19.963364305758155,-3.758526222669167
12,6132.314845364855,5048.494816339932,-19.963364299351007,-3.758526230657037
13,6008.357416880562,4940.383214246494,-19.96336429806958,-3.758526232254611
14,5882.905747287714,4829.154119272746,-19.963364297813293,-3.7585262325741255
15,5760.934701952699,4716.836228975398,-19.963364297762034,-3.7585262326380287
16,5638.7582566396,4601.516027819255,-19.96336429775178,-3.758526232650809
17,5518.402182669957,4493.275044287389,-19.96336429774973,-3.7585262326533653
18,5213.40601954553,4525.174819631205,-19.740880444200183,-4.042986562237283
19,5081.946869667814,4410.045739140854,-19.539583670976853,-4.300357807573688
20,4909.820222603412,4317.815715223214,-17.259828071585716,-7.2151762037284115
21,4566.272690589216,4321.376775916676,-17.295686834176788,-7.169328402809873
22,4511.769454797891,4196.315996382337,-19.285855294323202,-4.624766327545766
23,4716.584965955548,3906.6606761449743,-19.253240853246304,-4.666466048716156
24,4606.090585484363,3808.676298576241,-19.246717965030925,-4.674805992950234
25,4367.912865713783,3792.0390756425745,-17.54688416597685,-6.848155991174456
26,4135.159813691183,3758.388960834733,-19.029566495880086,-4.952448516211032
27,4255.828628443383,3527.0118116095477,-18.996722715528755,-4.994441462820262
28,4079.7734801223746,3486.5597057835926,-18.897972591687363,-5.120700030919543
29,3972.0332282894433,3393.9027133082436,-18.779957867335582,-5.271589665602124
30,3914.869919883344,3268.1092609981333,-18.756354922465228,-5.30176759253864
31,3818.0033811496387,3178.6255280142577,-18.751634333491157,-5.307803177925943
32,3723.9927326299226,3089.7897140999803,-18.750690215696345,-5.309010295003404
33,3631.175168880238,3002.5514695847355,-18.750501392137384,-5.309251718418896
34,3501.61070465919,2952.643693444822,-18.70464832056428,-5.367877904742188
35,3401.7991265825103,2874.515693795817,-18.02072649899841,-6.2423172119926
36,3266.394306613718,2814.532638038771,-18.595385480824067,-5.507577675794813
37,3347.7213538158308,2688.2955029388168,-18.67484760470896,-5.54205461510806
38,3312.6842816655058,2613.181390352923,-21.04007576726695,-5.943915782581362
39,3504.8767914064024,2561.915727574544,-21.000327082876126,-5.937456494081726
40,3409.9717604893262,2486.265635810011,-20.992377345997962,-5.936164636381799
41,3283.9883453052885,2409.7578900092713,-19.09655572755857,-5.618133671775379
42,2928.3008311704816,2318.6278717153336,-19.138965568017007,-5.625256430125309
43,2908.0519583045557,2250.3165790187472,-19.22828388024635,-5.640241656070575
44,2862.9995021493523,2181.9611568367814,-20.709437404421337,-5.888710584635112
45,2918.28276856462,2127.030920223439,-19.367616131220213,-5.663615552417328
46,2692.1887249012416,2045.782953076956,-19.461022782499107,-5.679284847977246
47,2593.747974053582,1980.5309374287622,-19.479704112754884,-5.682418707089229
48,2584.358583347759,1958.8629093483748,-19.58693020020651,-5.85873966597802
49,2472.8815898739317,1865.2940253159313,-19.608375417696834,-5.894003857755778
50,2465.003795213927,1844.2137525120977,-20.599368878468017,-7.582469039087084
51,2477.890398712951,1860.5763532237295,-20.57623080407709,-7.54304877631561
52,2391.067504760998,1792.261108769463,-19.778963856574038,-6.184380231681955
53,2223.757476334456,1648.511485837808,-19.796643118615492,-6.214506045222556
54,2197.8208543982932,1618.1813086642244,-20.444451903031016,-7.3184787891219365
55,2185.7335022659763,1609.8598841804549,-20.428830406187135,-7.291857216553921
56,2112.0674350616805,1551.0386531632812,-19.902292573809408,-6.394549549722091
57,2007.3975819256939,1459.07038060585,-19.95461727822886,-6.483719507711236
58,1957.8929220473015,1412.7301878218482,-20.345675180503857,-7.1501469498938945
59,1926.046032031589,1387.9039636832606,-20.025568341865355,-6.604631871561361
60,1830.936506713846,1305.6766239361214,-20.032442278075028,-6.616346197468486
61,1773.1965681323916,1258.932620161437,-20.033817065316963,-6.618689062649911
62,1724.5798567888564,1221.7528880456198,-20.0519670587712,-6.649619658031395
63,1672.8058330879578,1178.636230324367,-20.06864491446845,-6.678041486818059
64,1613.0456698821893,1130.5811118306685,-20.0719804856079,-6.6837258525753915
65,1569.1522238344023,1095.2021636514567,-20.085136502803856,-6.706145885165463
66,1511.6641442360421,1048.2502774333689,-20.087767706243046,-6.710629891683477
67,1466.2413798491937,1011.5135138536173,-20.09249318332453,-6.718682887403431
68,1418.0994696991906,971.1951288379571,-20.10469289543244,-6.739473217711994
69,1372.0688945934953,933.80518997089,-20.241497743361855,-6.972611340243738
70,1332.7210758601987,905.0524789081201,-20.23881710233881,-6.968043083893518
71,1279.6167025298394,869.1100068981696,-19.802767463266,-6.7781439956485965
72,1213.816609858638,828.6744631831111,-20.19974591017508,-6.950271440557064
73,1186.8173005910369,800.2300753939572,-19.867884869640083,-6.806381729922819
74,1116.0883654579732,759.9501974646379,-19.874061348416145,-6.809059531577507
75,1074.486473008955,727.0027475598627,-19.875296644171357,-6.809595091908444
76,1043.7792268804592,697.9522228941679,-20.156321321135188,-6.931409507285541
77,1016.3607232195785,671.8644369804443,-19.898968590431675,-6.819856076293056
78,966.5500908198541,639.6544932703192,-20.13112115118414,-6.920486050402769
