"Epoch","Error X","Error Y","Global Best X","Global Best Y"
160,11.209121395948618,3.4502446535584457,-44.977870834692744,-43.90708334122932
161,10.427160193469046,3.646150324458581,-44.977870834692744,-43.90708334122932
162,10.429272002055525,4.048836502252368,-44.977870834692744,-43.90708334122932
163,12.651460651620427,4.658343376169948,-44.977870834692744,-43.90708334122932
164,10.848352565239914,3.8827208533423736,-44.977870834692744,-43.90708334122932
165,11.516278431670104,3.2011683667889397,-44.977870834692744,-43.90708334122932
166,10.848402102387587,3.8867606604894784,-44.977870834692744,-43.90708334122932
167,8.79565735772252,3.1946071953148847,-44.977870834692744,-43.90708334122932
168,10.84836552955139,3.883775068451148,-44.977870834692744,-43.90708334122932
169,9.802638870722427,3.1956362543002914,-44.977870834692744,-43.90708334122932
170,11.931237726546156,3.8506711265266502,-44.977870834692744,-43.90708334122932
171,9.770160184447795,3.1653926410612736,-44.977870834692744,-43.90708334122932
172,10.486009638285978,2.5476589908210783,-44.977870834692744,-43.90708334122932
173,11.407277243064865,3.165610226660397,-44.977870834692744,-43.90708334122932
174,11.875989365642882,2.547542586995597,-44.977870834692744,-43.90708334122932
175,9.735676861711845,1.9964871689732189,-44.977870834692744,-43.90708334122932
176,11.87598851353455,2.547473059278557,-44.977870834692744,-43.90708334122932
177,9.735676958462593,1.9964950646683146,-44.977870834692744,-43.90708334122932
178,7.811152558006852,1.5125728669519243,-44.977870834692744,-43.90708334122932
179,7.935507255993026,1.4788471188660288,-44.977870834692744,-43.90708334122932
180,8.883877914276093,1.0671095489922386,-44.977870834692744,-43.90708334122932
181,7.935507262210844,1.4788476268685993,-44.977870834692744,-43.90708334122932
182,8.883877923804082,1.067110326511003,-44.977870834692744,-43.90708334122932
183,10.835310977415054,1.4322331227625336,-44.977870834692744,-43.90708334122932
184,13.046462988485512,1.9040209101005336,-44.977870834692744,-43.90708334122932
185,10.835310975517363,1.4322329679154973,-44.977870834692744,-43.90708334122932
186,11.534972952169593,1.9039786549830024,-44.977870834692744,-43.90708334122932
187,10.469973297378196,2.351905434294821,-44.977870834692744,-43.90708334122932
188,9.43502958209303,2.699432932515431,-44.977870834692744,-43.90708334122932
189,7.525875368570788,2.131276503095604,-44.977870834692744,-43.90708334122932
190,7.387787880579536,1.8262155847872015,-44.977870834692744,-43.90708334122932
191,6.382464770707402,1.9663848340920986,-44.977870834692744,-43.90708334122932
192,8.150021341325942,2.513443601138527,-44.977870834692744,-43.90708334122932
193,10.133365063671558,3.1275579296747735,-44.977870834692744,-43.90708334122932
194,8.150021341332211,2.5134436016497332,-44.977870834692744,-43.90708334122932
195,7.67029420224221,3.127489032359141,-44.977870834692744,-43.90708334122932
196,9.586590275293092,3.808651009715616,-44.977870834692744,-43.90708334122932
197,11.718673500063224,4.556868547923427,-44.977870834692744,-43.90708334122932
198,12.332495937726609,3.8087278182606052,-44.977870834692744,-43.90708334122932
199,13.162105527108086,3.127642649355297,-44.977870834692744,-43.90708334122932
200,10.8959270037592,2.5135204096619805,-44.977870834692744,-43.90708334122932
