"Generation","Average Fitness","Best Fitness Individual","Average Correct Bits"
0,0.08303441542498809,0.7279761566721286,2.533333333333333
1,0.4147709755283852,0.7279761566721286,3.966666666666667
2,0.4752603166803854,0.7279761566721286,4.033333333333333
3,0.48990084110804566,0.7279761566721286,4.166666666666667
4,0.4499295553713883,0.7279761566721286,4.033333333333333
5,0.5155299270511112,0.7279761566721286,4.3
6,0.6190910648024581,0.7279761566721286,4.533333333333333
7,0.49929745960894667,0.7279761566721286,4.3
8,0.5606830237230128,0.7279761566721286,4.5
9,0.5657096033703376,0.7279761566721286,4.5
