"Generation","Average Fitness","Best Fitness Individual","Average Correct Bits"
0,0.03481770369207742,0.37773700317921,9.766666666666667
1,0.2605083834453328,0.501233013254993,10.066666666666666
2,0.3674224252970882,0.9185575465500508,10.266666666666667
3,0.4352876686504226,0.8976854668858176,10.166666666666666
4,0.4942897200674096,0.8824681009144492,10.4
5,0.457768034733753,0.8824510575464247,10.633333333333333
6,0.5400969373080112,0.9522400332221495,10.666666666666666
7,0.5870074426340296,0.9725083937897896,10.933333333333334
8,0.5734154062437086,0.9165540203519068,11.533333333333333
9,0.6608756059703573,0.9927093481467442,12.033333333333333
