"Unnormalised"
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,6.96,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,7.96,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.04,8.94,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0.02,0.06,0.02,0.04,0,0.04,0,0,0,0,0,0,0,0.06,10.72,
0.06,0.2,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.04,0.04,0.06,0.02,0.02,0.08,0.18,0.26,12.14,
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.04,0.06,0.2,0.38,13.14,
0.24,0.2,0,0.04,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0.08,0.06,0.04,0.08,0.12,0.22,0.64,13.18,
0.3,0.22,0.12,0.1,0.02,0.06,0.02,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.04,0,0.04,0.02,0.06,0.02,0.06,0.04,0,0.02,0,0,0.02,0,0.02,0.04,0.04,0.1,0.12,0.3,0.94,13.2,
0.5,0.14,0.06,0.06,0.06,0.1,0.06,0.2,0.1,0.08,0,0.02,0.02,0.02,0.02,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.14,0.14,0.06,0.12,0.12,0.1,0.08,0.5,1.14,13.06,
0.86,0.22,0.16,0.16,0.04,0.08,0.08,0.04,0.06,0.02,0.04,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0.02,0.02,0.04,0.02,0.02,0.08,0.04,0.02,0.02,0.04,0,0.04,0.02,0.14,0.16,0.46,0.76,1.86,12.38,
1.34,2.62,0.14,0.1,0.08,0.1,0.02,0.04,0.06,0.02,0.02,0.02,0.02,0.04,0.02,0,0.04,0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.08,0.06,0.06,0.08,0.1,0.12,0.04,0.14,0.12,0.08,0.26,0.72,1.82,10.52,
2.12,1.46,0.1,0,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.02,0.02,0.02,0.06,0.04,0.06,0.02,0.02,0,0.02,0,0,0,0,0.02,0.04,0.06,0.16,0.1,0.14,0.22,0.28,0.28,0.44,0.46,0.52,0.72,1.02,1.32,2.34,7.78,
2.68,2.32,0.32,0.2,0.2,0.14,0.16,0.1,0.02,0.1,0.04,0.02,0.02,0.06,0.04,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0.04,0.02,0.08,0.04,0.06,0.06,0.1,0.1,0.16,0.16,0.12,0.1,0.18,0.22,0.16,0.3,0.5,0.88,0.98,1.9,2.7,5.66,
3.64,1.44,0.16,0.14,0.04,0.04,0.04,0.06,0,0.04,0.02,0.16,0.04,0.02,0.1,0.04,0.06,0.14,0.1,0,0.06,0.04,0.08,0.04,0.02,0.04,0.02,0.04,0.08,0.02,0.08,0.02,0.1,0.1,0.14,0.14,0.16,0.18,0.2,0.24,0.32,0.26,0.28,0.34,0.52,0.82,0.88,1.42,2.1,2.5,4.48,
4.62,3.22,0.28,0.28,0.06,0.04,0.02,0.04,0.04,0,0.06,0.02,0.06,0.04,0.04,0.1,0,0.04,0.08,0.04,0.02,0.02,0.02,0.06,0.02,0,0.04,0.06,0.02,0.02,0.04,0.1,0.1,0.1,0.06,0.04,0.18,0.1,0.18,0.16,0.22,0.16,0.32,0.78,0.6,0.64,1.22,1.6,2.2,2.42,2.42,
5.52,5,0.22,0.14,0.18,0.04,0.06,0.02,0.02,0.02,0.18,0,0.02,0.02,0.06,0.1,0,0.06,0.04,0.02,0.04,0.02,0.12,0.06,0.02,0.04,0.1,0.04,0.08,0.06,0.14,0.16,0.16,0.06,0.08,0.08,0.16,0.14,0.1,0.14,0.18,0.26,0.54,0.34,0.42,0.46,0.84,1.34,2.04,2.4,1.66,
7.2,5.34,0.12,0.02,0.08,0.06,0.02,0.12,0.12,0.06,0.04,0.06,0.1,0.02,0,0.02,0.04,0,0.02,0.06,0,0,0.08,0.06,0.1,0,0.1,0.12,0.06,0.16,0.16,0.14,0.22,0.22,0.2,0.36,0.18,0.36,0.32,0.24,0.46,0.22,0.32,0.5,0.72,0.6,0.64,1.12,1.06,1.54,1.24,
8.7,3.62,0.42,0.22,0.14,0.06,0.04,0.1,0.02,0.08,0.08,0.06,0.04,0.04,0.02,0.02,0.04,0.04,0.1,0,0.06,0.04,0.06,0.02,0.08,0.12,0.06,0.12,0.14,0.18,0.22,0.12,0.3,0.22,0.4,0.26,0.32,0.38,0.6,0.46,0.4,0.5,0.64,0.8,0.68,0.8,0.9,1.02,1.08,0.86,0.32,
10.22,6.76,0.24,0.06,0.02,0.08,0.08,0.08,0.08,0.12,0.08,0.12,0.18,0.08,0.1,0.08,0.06,0.04,0.12,0.14,0.1,0.02,0.04,0.02,0.1,0.06,0.1,0.08,0.06,0.08,0.1,0.1,0.1,0.02,0.06,0.14,0.18,0.2,0.2,0.28,0.4,0.46,0.32,0.54,0.62,0.52,0.72,1.14,0.84,0.52,0.14,
11.6,7.18,0.76,0.38,0.1,0.08,0,0.06,0.06,0.04,0.08,0.04,0.02,0.06,0.08,0.04,0.02,0.08,0.08,0,0.06,0.06,0.08,0.04,0,0.06,0.04,0.1,0.02,0.16,0.08,0.04,0.16,0.2,0.2,0.2,0.2,0.26,0.3,0.42,0.22,0.52,0.5,0.56,0.44,0.46,0.58,0.54,0.48,0.22,0.04,
13.54,8.28,0.26,0.18,0.06,0.04,0.04,0.1,0.06,0.14,0.08,0.12,0.06,0.08,0.08,0.02,0.1,0.14,0.12,0.08,0.18,0.08,0.1,0.08,0.04,0.12,0.06,0.1,0.02,0.1,0.08,0.08,0.14,0.1,0.18,0.18,0.26,0.24,0.26,0.12,0.12,0.32,0.22,0.2,0.2,0.22,0.44,0.34,0.4,0.42,0.02,
15.82,5.88,0.22,0.22,0.12,0.1,0.12,0.06,0.06,0.06,0.08,0.12,0.1,0.06,0.2,0.2,0.1,0.1,0.08,0.1,0.1,0.14,0.14,0.08,0.12,0.14,0.18,0.16,0.2,0.18,0.26,0.02,0.32,0.2,0.22,0.24,0.24,0.22,0.24,0.32,0.42,0.36,0.34,0.2,0.2,0.24,0.28,0.14,0.2,0.08,0.02,
17.54,6.12,0.46,0.2,0.12,0.14,0.1,0.1,0.06,0.08,0.12,0.08,0.08,0.08,0.12,0.1,0.06,0.06,0.1,0.04,0.04,0.18,0.1,0.04,0.2,0.1,0.28,0.26,0.2,0.14,0.14,0.2,0.2,0.12,0.3,0.22,0.4,0.14,0.26,0.24,0.16,0.16,0.16,0.24,0.3,0.16,0.16,0.08,0.04,0.02,0,
19.14,6.6,0.44,0.32,0.22,0.04,0.1,0.14,0.02,0.02,0,0.08,0.08,0.12,0.02,0.14,0.06,0.14,0.06,0.12,0.14,0.26,0.12,0.18,0.12,0.1,0.12,0.1,0.22,0.14,0.16,0.22,0.12,0.28,0.24,0.18,0.22,0.16,0.14,0.18,0.1,0.1,0.1,0.1,0.14,0.06,0.04,0.04,0.02,0.04,0,
