"Experiment #0"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
6,0.251343,0.922201,1.20974,0.63466,1,-0.1,-6,1,9
7,0.239214,0.922201,1.22198,0.622419,1,-0.1,-6,1,9
8,0.156714,0.922201,1.29475,0.549656,1,-0.1,-6,1,9
9,0.0458086,0.922201,1.38482,0.459583,1,-0.1,-6,1,9
10,0.114953,0.922201,1.44213,0.40227,1,-0.1,-6,1,9
11,0.199372,0.922201,1.46166,0.382735,1,-0.1,-6,1,9
12,0.207314,0.922201,1.46221,0.382191,1,-0.1,-6,1,9
13,0.152966,0.922201,1.45085,0.393545,1,-0.1,-6,1,9
14,0.0787461,0.922201,1.42393,0.420472,1,-0.1,-6,1,9
"Experiment #7"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.97753,0.983728,0,1.96746,1,-0.1,-3,1,9
1,0.636974,0.983728,1.46832,0.499141,1,-0.1,-3,1,9
2,0.425863,0.983728,1.55083,0.416626,1,-0.1,-3,1,9
3,0.175122,0.983728,1.54247,0.424988,1,-0.1,-3,1,9
4,0.0648314,0.983728,1.44292,0.524536,1,-0.1,-3,1,9
5,0.247915,0.983728,1.30732,0.660133,1,-0.1,-3,1,9
6,0.341359,0.983728,1.21629,0.751168,1,-0.1,-3,1,9
7,0.303661,0.983728,1.25464,0.712821,1,-0.1,-3,1,9
8,0.185804,0.983728,1.35862,0.608832,1,-0.1,-3,1,9
9,0.0386333,0.983728,1.46477,0.502686,1,-0.1,-3,1,9
10,0.139196,0.983728,1.53337,0.434083,1,-0.1,-3,1,9
11,0.240004,0.983728,1.55492,0.41254,1,-0.1,-3,1,9
12,0.260956,0.983728,1.55681,0.410643,1,-0.1,-3,1,9
13,0.200777,0.983728,1.54712,0.420341,1,-0.1,-3,1,9
14,0.0943551,0.983728,1.51772,0.449731,1,-0.1,-3,1,9
"Experiment #8"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.999984,0.999988,0,1.99998,1,-0.1,0,1,9
1,0.661651,0.999988,1.48652,0.513458,1,-0.1,0,1,9
2,0.45054,0.999988,1.57272,0.427253,1,-0.1,0,1,9
3,0.204613,0.999988,1.57118,0.428797,1,-0.1,0,1,9
4,0.0407105,0.999988,1.47831,0.521661,1,-0.1,0,1,9
5,0.260238,0.999988,1.32028,0.679698,1,-0.1,0,1,9
6,0.378534,0.999988,1.20383,0.796145,1,-0.1,0,1,9
7,0.346206,0.999988,1.23802,0.761952,1,-0.1,0,1,9
8,0.206405,0.999988,1.36559,0.634387,1,-0.1,0,1,9
9,0.0355716,0.999988,1.48111,0.518862,1,-0.1,0,1,9
10,0.133817,0.999988,1.55393,0.446041,1,-0.1,0,1,9
11,0.254429,0.999988,1.57969,0.420287,1,-0.1,0,1,9
12,0.283966,0.999988,1.58245,0.417533,1,-0.1,0,1,9
13,0.23836,0.999988,1.57713,0.422848,1,-0.1,0,1,9
14,0.135976,0.999988,1.55402,0.445956,1,-0.1,0,1,9
"Experiment #9"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.977636,0.983806,0,1.96762,1,-0.1,3,1,9
1,0.644303,0.983806,1.46389,0.503722,1,-0.1,3,1,9
2,0.444303,0.983806,1.54782,0.419794,1,-0.1,3,1,9
3,0.199302,0.983806,1.54841,0.419204,1,-0.1,3,1,9
4,0.0555586,0.983806,1.44868,0.518935,1,-0.1,3,1,9
5,0.244809,0.983806,1.3102,0.657417,1,-0.1,3,1,9
6,0.358845,0.983806,1.19803,0.769578,1,-0.1,3,1,9
7,0.324427,0.983806,1.23435,0.733262,1,-0.1,3,1,9
8,0.216809,0.983806,1.3343,0.633312,1,-0.1,3,1,9
9,0.0582901,0.983806,1.44708,0.520537,1,-0.1,3,1,9
10,0.132136,0.983806,1.53168,0.435936,1,-0.1,3,1,9
11,0.247989,0.983806,1.55615,0.411462,1,-0.1,3,1,9
12,0.289905,0.983806,1.5598,0.407814,1,-0.1,3,1,9
13,0.243277,0.983806,1.55556,0.41205,1,-0.1,3,1,9
14,0.132834,0.983806,1.5319,0.435711,1,-0.1,3,1,9
"Experiment #10"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.897016,0.924368,0,1.84874,1,-0.1,6,1,9
1,0.562572,0.924368,1.39249,0.456245,1,-0.1,6,1,9
2,0.356183,0.924368,1.46602,0.382716,1,-0.1,6,1,9
3,0.118127,0.924368,1.4469,0.40184,1,-0.1,6,1,9
4,0.0821506,0.924368,1.353,0.49574,1,-0.1,6,1,9
5,0.193984,0.924368,1.26769,0.581049,1,-0.1,6,1,9
6,0.237706,0.924368,1.2269,0.621834,1,-0.1,6,1,9
7,0.249968,0.924368,1.21473,0.634005,1,-0.1,6,1,9
8,0.184373,0.924368,1.27566,0.573079,1,-0.1,6,1,9
9,0.0536358,0.924368,1.37165,0.477086,1,-0.1,6,1,9
10,0.108349,0.924368,1.44363,0.405112,1,-0.1,6,1,9
11,0.214996,0.924368,1.46708,0.381661,1,-0.1,6,1,9
12,0.234563,0.924368,1.46871,0.38003,1,-0.1,6,1,9
13,0.181204,0.924368,1.46097,0.387762,1,-0.1,6,1,9
14,0.0851906,0.924368,1.43552,0.413219,1,-0.1,6,1,9
"Experiment #11"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.981999,0.986975,0,1.97395,1,-0.1,-6,1,14
1,0.775332,0.986975,1.36133,0.612613,1,-0.1,-6,1,14
2,0.635888,0.986975,1.47519,0.498765,1,-0.1,-6,1,14
3,0.49274,0.986975,1.53951,0.434438,1,-0.1,-6,1,14
4,0.330749,0.986975,1.56454,0.409416,1,-0.1,-6,1,14
5,0.179999,0.986975,1.54807,0.425882,1,-0.1,-6,1,14
6,0.0358099,0.986975,1.4994,0.474551,1,-0.1,-6,1,14
7,0.104668,0.986975,1.42237,0.551581,1,-0.1,-6,1,14
8,0.212029,0.986975,1.34275,0.631195,1,-0.1,-6,1,14
9,0.275594,0.986975,1.2868,0.687149,1,-0.1,-6,1,14
10,0.302446,0.986975,1.26094,0.713014,1,-0.1,-6,1,14
11,0.286941,0.986975,1.27578,0.698166,1,-0.1,-6,1,14
12,0.237307,0.986975,1.3209,0.653054,1,-0.1,-6,1,14
13,0.16954,0.986975,1.37579,0.598159,1,-0.1,-6,1,14
14,0.0814537,0.986975,1.43662,0.537331,1,-0.1,-6,1,14
"Experiment #12"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.995629,0.996845,0,1.99368,1,-0.1,3,1,14
1,0.795629,0.996845,1.36549,0.6282,1,-0.1,3,1,14
2,0.662295,0.996845,1.47957,0.514121,1,-0.1,3,1,14
3,0.52711,0.996845,1.54697,0.446719,1,-0.1,3,1,14
4,0.362295,0.996845,1.57943,0.414257,1,-0.1,3,1,14
5,0.208962,0.996845,1.56838,0.425313,1,-0.1,3,1,14
6,0.0604432,0.996845,1.52343,0.470259,1,-0.1,3,1,14
7,0.0990541,0.996845,1.43919,0.554499,1,-0.1,3,1,14
8,0.228121,0.996845,1.34353,0.650154,1,-0.1,3,1,14
9,0.3011,0.996845,1.27814,0.715554,1,-0.1,3,1,14
10,0.329927,0.996845,1.24994,0.743746,1,-0.1,3,1,14
11,0.312957,0.996845,1.2667,0.726985,1,-0.1,3,1,14
12,0.260761,0.996845,1.31533,0.678363,1,-0.1,3,1,14
13,0.193688,0.996845,1.37152,0.622172,1,-0.1,3,1,14
14,0.103538,0.996845,1.43628,0.557406,1,-0.1,3,1,14
"Experiment #13"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,1,1,0,2,1,-0.1,0,1,14
1,0.8,1,1.369,0.631004,1,-0.1,0,1,14
2,0.666667,1,1.48336,0.516644,1,-0.1,0,1,14
3,0.527778,1,1.55239,0.447608,1,-0.1,0,1,14
4,0.366667,1,1.58405,0.415947,1,-0.1,0,1,14
5,0.213333,1,1.57358,0.426416,1,-0.1,0,1,14
6,0.0611112,1,1.52785,0.472147,1,-0.1,0,1,14
7,0.0952381,1,1.44583,0.554172,1,-0.1,0,1,14
8,0.229167,1,1.34719,0.65281,1,-0.1,0,1,14
9,0.309259,1,1.27523,0.724765,1,-0.1,0,1,14
