"Generation","Average Fitness","Best Fitness Individual","Average Correct Bits"
0,0.09350455397238405,0.8731388485187216,10.14
1,0.396999215627087,0.9819896950305845,11.83
2,0.5197042552445853,0.9820553711425128,12.66
3,0.6402270809304283,0.984065092490255,13.13
4,0.6972058704012292,0.9936097591400258,13.19
5,0.6920160614641149,0.9938657995238825,13.18
6,0.7525765528656422,0.9938657995238825,13.48
7,0.7502576782644305,0.9984846921007432,13.33
8,0.7710327505817831,0.9853630433413326,13.27
9,0.7738905232226299,0.9902299135374745,13.09
