"Generation","Average Fitness","Best Fitness Individual","Average Correct Bits"
0,0.07446796716328682,0.7958062097143471,9.61
1,0.4672614630609203,0.898785117863412,10.84
2,0.5716004348328397,0.9907026573043974,10.86
3,0.5738890225348954,0.9988657069590655,10.81
4,0.6735055361792347,0.9988657069590655,10.97
5,0.6734194240355439,0.9989038156408997,11.01
6,0.6981948015323427,0.9749944700403271,11.05
7,0.7115660204759695,0.9805645596641015,11.55
8,0.7333937347054283,0.9788325315570147,11.89
9,0.7403228752302979,0.9998474225863276,11.85
