"Epoch","Error X","Error Y","Error Z","Error W","Global Best X","Global Best Y","Global Best Z","Global Best W"
61,432.9315507589952,200.19637847019587,188.20699810343675,280.4511767620869,20.037341429708466,7.011270376666652,6.9981651632543755,-11.970685970159836
62,399.09360006102213,183.3307522305566,171.6851731281592,256.26883388875945,20.037341429708466,7.011270376666652,6.9981651632543755,-11.970685970159836
63,367.1341710221189,167.28446413003923,156.93589842901284,234.32374681525047,20.017933795258905,7.012192015343078,7.003801324715306,-11.976340822022461
64,336.58754100841344,152.78016215403522,142.57163226619141,213.55147485851197,19.991679787609083,6.9887462118843935,7.003172656486749,-11.977780457642826
65,308.22234622829956,139.2299231925718,129.61056823299228,193.769219798824,20.000492330299924,6.995325967771618,6.986803776846941,-12.003686411152268
66,282.04850698692763,126.49741324585902,117.45379019991167,175.741634668014,19.998767965470503,7.00131985715727,6.9999891562025205,-12.00560005365849
67,257.8844858323828,114.4918420451645,106.58568461242172,158.9174927997399,19.998767965470503,7.00131985715727,6.9999891562025205,-12.00560005365849
68,235.1610632507288,103.78694675393491,96.57030882784221,142.9503621957141,19.998767965470503,7.00131985715727,6.9999891562025205,-12.00560005365849
69,213.87888014804778,93.95984521341632,87.51574161513206,128.69421030628303,19.998767965470503,7.00131985715727,6.9999891562025205,-12.00560005365849
70,194.05396764282563,84.81821699301128,79.01204375835933,115.23886678420583,19.998767965470503,7.00131985715727,6.9999891562025205,-12.00560005365849
71,175.5905678674966,76.16219103349306,71.130455033507,102.87958445333224,19.998551209295815,7.001406941262349,6.999498094023261,-12.000704315762949
72,158.36801769006692,68.17030744964687,63.83517278804481,91.64718947971888,19.998551209295815,7.001406941262349,6.999498094023261,-12.000704315762949
73,142.36630331088153,60.981073313499415,57.24083684624055,81.40589292314738,19.998551209295815,7.001406941262349,6.999498094023261,-12.000704315762949
74,127.43442260136301,54.11008041789355,50.965936482713154,71.9902471068086,19.998551209295815,7.001406941262349,6.999498094023261,-12.000704315762949
75,113.5333440038752,47.96500739454312,45.220534141878026,63.327419505736465,20.000635699207393,7.001236952905715,6.999710152037186,-12.00147807704071
76,101.24855353176541,42.39175773330173,40.039526236428316,55.637369535341975,20.000635699207393,7.001236952905715,6.999710152037186,-12.00147807704071
77,89.68396399397778,37.33373029981802,35.348216123186035,48.61702376810881,20.000635699207393,7.001236952905715,6.999710152037186,-12.00147807704071
78,79.00709373989838,32.62624116674321,31.050667939895284,42.18098579896058,20.000635699207393,7.001236952905715,6.999710152037186,-12.00147807704071
79,69.30718995941785,28.16660463830988,27.142241825382357,36.35877837703699,20.000287761650785,6.999733764979512,7.000189610695392,-12.00011695700402
80,60.647323615582614,24.03785106741961,23.666870411641202,31.322057074483478,20.000287761650785,6.999733764979512,7.000189610695392,-12.00011695700402
81,52.81913871896414,20.358728470964735,20.602852628634345,26.870236803706504,20.000287761650785,6.999733764979512,7.000189610695392,-12.00011695700402
82,45.632969252512474,17.19913043220432,17.972581382167004,22.918140138048795,20.000287761650785,6.999733764979512,7.000189610695392,-12.00011695700402
83,39.257264023087416,14.431043879898505,15.644129037593673,19.50279104250597,19.999879073861482,6.999903358788022,7.000107350340278,-12.000104426417389
84,33.77806299862394,12.140116958811317,13.621477708174073,16.690563271736014,19.999879073861482,6.999903358788022,7.000107350340278,-12.000104426417389
85,28.672866768477395,9.992567118131586,11.761812917295961,14.07098525124998,19.999879073861482,6.999903358788022,7.000107350340278,-12.000104426417389
86,24.170559990991222,8.160944057688132,10.14101234692929,11.771268970909349,19.999879073861482,6.999903358788022,7.000107350340278,-12.000104426417389
87,20.190076293240676,6.5447668949195315,8.675253369555898,9.78668428331117,19.999879073861482,6.999903358788022,7.000107350340278,-12.000104426417389
88,16.80076582688626,5.180048450666117,7.342159520308657,8.075236519875752,19.999879073861482,6.999903358788022,7.000107350340278,-12.000104426417389
89,13.911564309442026,4.089418244287142,6.226785438829366,6.68988648455443,19.999879073861482,6.999903358788022,7.000107350340278,-12.000104426417389
90,11.512469375885027,3.252150274965821,5.289356403183258,5.586053964578709,20.00001191558423,6.999883123816702,6.9999374470710825,-11.99999902780889
91,9.565905201900906,2.639922550858324,4.531622607445267,4.661724746162188,20.00001191558423,6.999883123816702,6.9999374470710825,-11.99999902780889
92,7.886204841905111,2.1036878895862916,3.8572098943208917,3.8796870722589105,20.000069762033025,6.99994672852135,6.999981709496698,-11.999947758982044
93,6.398747338769207,1.6053684433728763,3.237654222474426,3.154055121942534,20.000013022488684,7.000017969942035,6.999968663323222,-12.000002436723639
94,5.143651250999704,1.186146558761483,2.6686739469770795,2.5336850949183627,20.000013022488684,7.000017969942035,6.999968663323222,-12.000002436723639
95,4.161008645706796,0.8766990564129604,2.205652980031022,2.0430657146039395,20.000013022488684,7.000017969942035,6.999968663323222,-12.000002436723639
96,3.3494329839731325,0.678828188821245,1.8290184164290297,1.655181667185171,20.000001235139276,7.000030191218416,6.9999767811841105,-12.000002029968428
97,2.704802091520763,0.5413396488498148,1.4982120471925777,1.3210504702233603,20.000001235139276,7.000030191218416,6.9999767811841105,-12.000002029968428
