distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.9996,0.999711,0,1.99942,1,-0.1,0,1,5
1,0.357378,0.999711,1.58405,0.415373,1,-0.1,0,1,5
2,0.0404,0.999711,1.47824,0.521179,1,-0.1,0,1,5
3,0.337437,0.999711,1.24704,0.75238,1,-0.1,0,1,5
4,0.262067,0.999711,1.31841,0.681008,1,-0.1,0,1,5
5,0.0569333,0.999711,1.52575,0.473675,1,-0.1,0,1,5
6,0.261822,0.999711,1.58047,0.418954,1,-0.1,0,1,5
7,0.21706,0.999711,1.57387,0.425553,1,-0.1,0,1,5
8,0.0131778,0.999711,1.49291,0.506514,1,-0.1,0,1,5
9,0.193733,0.999711,1.37548,0.623938,1,-0.1,0,1,5
10,0.166844,0.999711,1.39601,0.603415,1,-0.1,0,1,5
11,0.00161212,0.999711,1.49881,0.500608,1,-0.1,0,1,5
12,0.12423,0.999711,1.55057,0.448855,1,-0.1,0,1,5
13,0.117036,0.999711,1.54823,0.451193,1,-0.1,0,1,5
14,0.00166349,0.999711,1.50045,0.49897,1,-0.1,0,1,5
