distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.843536,0.88399,0,1.76798,1,-0.1,2,1,5
1,0.194647,0.88399,1.40647,0.361509,1,-0.1,2,1,5
2,0.0764642,0.88399,1.30189,0.466088,1,-0.1,2,1,5
3,0.203131,0.88399,1.19855,0.56943,1,-0.1,2,1,5
4,0.20702,0.88399,1.19468,0.573297,1,-0.1,2,1,5
5,0.0902025,0.88399,1.38324,0.38474,1,-0.1,2,1,5
6,0.282054,0.88399,1.40974,0.358241,1,-0.1,2,1,5
7,0.103853,0.88399,1.38746,0.380517,1,-0.1,2,1,5
8,0.091742,0.88399,1.29152,0.476459,1,-0.1,2,1,5
9,0.191279,0.88399,1.21005,0.557934,1,-0.1,2,1,5
10,0.151798,0.88399,1.24542,0.522558,1,-0.1,2,1,5
11,0.0861621,0.88399,1.38192,0.386059,1,-0.1,2,1,5
12,0.225202,0.88399,1.40931,0.358671,1,-0.1,2,1,5
13,0.0980657,0.88399,1.38572,0.382264,1,-0.1,2,1,5
14,0.0850356,0.88399,1.29614,0.471842,1,-0.1,2,1,5
