distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.84,0.881291,0,1.76258,1,-0.1,2,1,5
1,0.204444,0.881291,1.40365,0.358927,1,-0.1,2,1,5
2,0.0655556,0.881291,1.30531,0.457274,1,-0.1,2,1,5
3,0.200741,0.881291,1.19675,0.565835,1,-0.1,2,1,5
4,0.200556,0.881291,1.19693,0.565652,1,-0.1,2,1,5
5,0.0728889,0.881291,1.3737,0.388887,1,-0.1,2,1,5
6,0.244074,0.881291,1.40612,0.356463,1,-0.1,2,1,5
7,0.107937,0.881291,1.38494,0.377643,1,-0.1,2,1,5
8,0.0602778,0.881291,1.30865,0.453932,1,-0.1,2,1,5
9,0.16,0.881291,1.2345,0.528084,1,-0.1,2,1,5
10,0.126889,0.881291,1.26181,0.500775,1,-0.1,2,1,5
11,0.0456566,0.881291,1.36331,0.399276,1,-0.1,2,1,5
12,0.149444,0.881291,1.39519,0.367395,1,-0.1,2,1,5
13,0.0926496,0.881291,1.38033,0.382254,1,-0.1,2,1,5
14,0.0371429,0.881291,1.32258,0.439999,1,-0.1,2,1,5
