distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.999506,0.999644,0,1.99929,1,-0.1,0,1,5
1,0.35284,0.999644,1.58411,0.415178,1,-0.1,0,1,5
2,0.052716,0.999644,1.47117,0.528119,1,-0.1,0,1,5
3,0.335309,0.999644,1.24907,0.750213,1,-0.1,0,1,5
4,0.249938,0.999644,1.32897,0.670321,1,-0.1,0,1,5
5,0.0697284,0.999644,1.53089,0.468402,1,-0.1,0,1,5
6,0.257654,0.999644,1.57989,0.419399,1,-0.1,0,1,5
7,0.199189,0.999644,1.57029,0.428997,1,-0.1,0,1,5
8,0.0191049,0.999644,1.48972,0.509569,1,-0.1,0,1,5
9,0.183457,0.999644,1.38336,0.615925,1,-0.1,0,1,5
10,0.153383,0.999644,1.40579,0.593501,1,-0.1,0,1,5
11,0.00958474,0.999644,1.49468,0.504612,1,-0.1,0,1,5
12,0.107099,0.999644,1.54479,0.454501,1,-0.1,0,1,5
13,0.111301,0.999644,1.54622,0.453065,1,-0.1,0,1,5
14,0.0245855,0.999644,1.51139,0.487897,1,-0.1,0,1,5
