distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.977165,0.983465,0,1.96693,1,-0.1,3,1,9
1,0.643832,0.983465,1.46348,0.50345,1,-0.1,3,1,9
2,0.443832,0.983465,1.54735,0.419579,1,-0.1,3,1,9
3,0.197165,0.983465,1.54751,0.419417,1,-0.1,3,1,9
4,0.0561679,0.983465,1.44787,0.519056,1,-0.1,3,1,9
5,0.244612,0.983465,1.30987,0.657061,1,-0.1,3,1,9
6,0.356538,0.983465,1.19996,0.766966,1,-0.1,3,1,9
7,0.322517,0.983465,1.23575,0.731183,1,-0.1,3,1,9
8,0.216723,0.983465,1.33388,0.633047,1,-0.1,3,1,9
9,0.0576494,0.983465,1.44701,0.519925,1,-0.1,3,1,9
10,0.13161,0.983465,1.53108,0.435855,1,-0.1,3,1,9
11,0.247064,0.983465,1.55555,0.411377,1,-0.1,3,1,9
12,0.288832,0.983465,1.55924,0.407689,1,-0.1,3,1,9
13,0.241781,0.983465,1.55489,0.412043,1,-0.1,3,1,9
14,0.132721,0.983465,1.53141,0.435521,1,-0.1,3,1,9
