distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.995556,0.996792,0,1.99358,1,-0.1,3,1,14
1,0.795556,0.996792,1.36543,0.628153,1,-0.1,3,1,14
2,0.662222,0.996792,1.4795,0.514079,1,-0.1,3,1,14
3,0.528889,0.996792,1.54626,0.447327,1,-0.1,3,1,14
4,0.362222,0.996792,1.57935,0.414229,1,-0.1,3,1,14
5,0.208889,0.996792,1.56829,0.425295,1,-0.1,3,1,14
6,0.0622222,0.996792,1.5241,0.469485,1,-0.1,3,1,14
7,0.0996825,0.996792,1.43872,0.554868,1,-0.1,3,1,14
8,0.229444,0.996792,1.34235,0.651231,1,-0.1,3,1,14
9,0.300741,0.996792,1.2784,0.715187,1,-0.1,3,1,14
10,0.331111,0.996792,1.24867,0.744909,1,-0.1,3,1,14
11,0.313535,0.996792,1.26606,0.727525,1,-0.1,3,1,14
12,0.26,0.996792,1.31593,0.677658,1,-0.1,3,1,14
13,0.194188,0.996792,1.37105,0.622533,1,-0.1,3,1,14
14,0.104444,0.996792,1.43562,0.55796,1,-0.1,3,1,14
