distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.999877,0.999911,0,1.99982,1,-0.1,0,3,14
1,0.788765,0.999911,1.38071,0.619114,1,-0.1,0,3,14
2,0.642099,0.999911,1.49864,0.501179,1,-0.1,0,3,14
3,0.471728,0.999911,1.56864,0.431185,1,-0.1,0,3,14
4,0.309877,0.999911,1.58439,0.415435,1,-0.1,0,3,14
5,0.15321,0.999911,1.55949,0.440336,1,-0.1,0,3,14
6,0.0128395,0.999911,1.50618,0.493637,1,-0.1,0,3,14
7,0.104568,0.999911,1.4397,0.560126,1,-0.1,0,3,14
8,0.192901,0.999911,1.37641,0.623408,1,-0.1,0,3,14
9,0.249012,0.999911,1.33016,0.669661,1,-0.1,0,3,14
10,0.270568,0.999911,1.31111,0.688711,1,-0.1,0,3,14
11,0.254063,0.999911,1.32576,0.67406,1,-0.1,0,3,14
12,0.200864,0.999911,1.37014,0.629682,1,-0.1,0,3,14
13,0.130893,0.999911,1.42204,0.577782,1,-0.1,0,3,14
14,0.0566314,0.999911,1.46925,0.530569,1,-0.1,0,3,14
