distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.681402,0.756089,0,1.51218,1,-0.1,0,7,14
1,0.585847,0.756089,0.97115,0.541028,1,-0.1,0,7,14
2,0.512514,0.756089,1.06322,0.448959,1,-0.1,0,7,14
3,0.43918,0.756089,1.12811,0.384064,1,-0.1,0,7,14
4,0.362514,0.756089,1.1746,0.337575,1,-0.1,0,7,14
5,0.285847,0.756089,1.20306,0.309119,1,-0.1,0,7,14
6,0.213995,0.756089,1.21515,0.297032,1,-0.1,0,7,14
7,0.143942,0.756089,1.21409,0.298089,1,-0.1,0,7,14
8,0.0764025,0.756089,1.20111,0.311063,1,-0.1,0,7,14
9,0.014242,0.756089,1.17829,0.333891,1,-0.1,0,7,14
10,0.0417086,0.756089,1.1478,0.364377,1,-0.1,0,7,14
11,0.0897086,0.756089,1.11268,0.399501,1,-0.1,0,7,14
12,0.127116,0.756089,1.07783,0.434351,1,-0.1,0,7,14
13,0.15176,0.756089,1.04978,0.462399,1,-0.1,0,7,14
14,0.163994,0.756089,1.03362,0.478553,1,-0.1,0,7,14
