distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.879822,0.911484,0,1.82297,1,-0.1,6,1,9
1,0.542044,0.911484,1.3787,0.444264,1,-0.1,6,1,9
2,0.320933,0.911484,1.4498,0.373164,1,-0.1,6,1,9
3,0.0990815,0.911484,1.4236,0.399373,1,-0.1,6,1,9
4,0.0779556,0.911484,1.33831,0.484663,1,-0.1,6,1,9
5,0.188178,0.911484,1.25391,0.569057,1,-0.1,6,1,9
6,0.239067,0.911484,1.20541,0.617562,1,-0.1,6,1,9
7,0.234146,0.911484,1.2104,0.612574,1,-0.1,6,1,9
8,0.143233,0.911484,1.29151,0.531454,1,-0.1,6,1,9
9,0.00599506,0.911484,1.38602,0.436947,1,-0.1,6,1,9
10,0.141378,0.911484,1.4355,0.387473,1,-0.1,6,1,9
11,0.209923,0.911484,1.44795,0.375023,1,-0.1,6,1,9
12,0.190007,0.911484,1.4452,0.377766,1,-0.1,6,1,9
13,0.118797,0.911484,1.42954,0.393427,1,-0.1,6,1,9
14,0.0280762,0.911484,1.39637,0.426604,1,-0.1,6,1,9
