distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,1,1,0,2,1,-0.1,0,1,14
1,0.8,1,1.369,0.631004,1,-0.1,0,1,14
2,0.666667,1,1.48336,0.516644,1,-0.1,0,1,14
3,0.525926,1,1.55304,0.446959,1,-0.1,0,1,14
4,0.366667,1,1.58405,0.415947,1,-0.1,0,1,14
5,0.213333,1,1.57358,0.426416,1,-0.1,0,1,14
6,0.0592593,1,1.5271,0.472905,1,-0.1,0,1,14
7,0.0952381,1,1.44583,0.554172,1,-0.1,0,1,14
8,0.227778,1,1.34836,0.651645,1,-0.1,0,1,14
9,0.308642,1,1.27583,0.724171,1,-0.1,0,1,14
10,0.328889,1,1.25606,0.743942,1,-0.1,0,1,14
11,0.313131,1,1.2715,0.728498,1,-0.1,0,1,14
12,0.27037,1,1.31142,0.688578,1,-0.1,0,1,14
13,0.193162,1,1.37633,0.623666,1,-0.1,0,1,14
14,0.101587,1,1.44175,0.558251,1,-0.1,0,1,14
