distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.999921,0.999943,0,1.99989,1,-0.1,0,3,14
1,0.786588,0.999943,1.38305,0.616837,1,-0.1,0,3,14
2,0.637699,0.999943,1.50132,0.498565,1,-0.1,0,3,14
3,0.464365,0.999943,1.5704,0.429484,1,-0.1,0,3,14
4,0.302143,0.999943,1.5841,0.415791,1,-0.1,0,3,14
5,0.146143,0.999943,1.55753,0.442353,1,-0.1,0,3,14
6,0.00843951,0.999943,1.50409,0.495792,1,-0.1,0,3,14
7,0.108016,0.999943,1.43748,0.562402,1,-0.1,0,3,14
8,0.185357,0.999943,1.38232,0.617571,1,-0.1,0,3,14
9,0.240079,0.999943,1.33789,0.661994,1,-0.1,0,3,14
10,0.261635,0.999943,1.31914,0.680745,1,-0.1,0,3,14
11,0.242907,0.999943,1.33547,0.664414,1,-0.1,0,3,14
12,0.190449,0.999943,1.37837,0.621515,1,-0.1,0,3,14
13,0.123498,0.999943,1.42714,0.572741,1,-0.1,0,3,14
14,0.0497616,0.999943,1.47326,0.526629,1,-0.1,0,3,14
