distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.999956,0.999968,0,1.99994,1,-0.1,0,3,9
1,0.713289,0.999968,1.44953,0.550404,1,-0.1,0,3,9
2,0.505511,0.999968,1.55958,0.440355,1,-0.1,0,3,9
3,0.275511,0.999968,1.58224,0.417696,1,-0.1,0,3,9
4,0.0699556,0.999968,1.5314,0.468533,1,-0.1,0,3,9
5,0.106267,0.999968,1.43866,0.561273,1,-0.1,0,3,9
6,0.213748,0.999968,1.35987,0.640068,1,-0.1,0,3,9
7,0.244171,0.999968,1.33442,0.665513,1,-0.1,0,3,9
8,0.202544,0.999968,1.36888,0.631052,1,-0.1,0,3,9
9,0.112637,0.999968,1.43447,0.565468,1,-0.1,0,3,9
10,0.0209333,0.999968,1.48918,0.510761,1,-0.1,0,3,9
11,0.0585414,0.999968,1.52676,0.473181,1,-0.1,0,3,9
12,0.0994,0.999968,1.54252,0.457417,1,-0.1,0,3,9
13,0.1044,0.999968,1.54428,0.455655,1,-0.1,0,3,9
14,0.0782095,0.999968,1.53465,0.46529,1,-0.1,0,3,9
