distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.996914,0.997772,0,1.99554,1,-0.1,0,1,2
1,0.765309,0.997772,0.625572,1.36997,1,-0.1,0,1,2
2,0.576914,0.997772,1.52866,0.466883,1,-0.1,0,1,2
3,0.400864,0.997772,1.17632,0.819225,1,-0.1,0,1,2
4,0.256914,0.997772,1.57713,0.418411,1,-0.1,0,1,2
5,0.152864,0.997772,1.40362,0.591929,1,-0.1,0,1,2
6,0.0795062,0.997772,1.53225,0.463295,1,-0.1,0,1,2
7,0.0288007,0.997772,1.48209,0.513459,1,-0.1,0,1,2
8,0.00558642,0.997772,1.49427,0.501273,1,-0.1,0,1,2
9,0.0267901,0.997772,1.50996,0.485583,1,-0.1,0,1,2
10,0.036642,0.997772,1.47779,0.517753,1,-0.1,0,1,2
11,0.0369136,0.997772,1.51456,0.480989,1,-0.1,0,1,2
12,0.0353086,0.997772,1.47853,0.517016,1,-0.1,0,1,2
13,0.032982,0.997772,1.51279,0.482755,1,-0.1,0,1,2
14,0.030388,0.997772,1.48122,0.514321,1,-0.1,0,1,2
