distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.975106,0.981968,0,1.96394,1,-0.1,-6,3,14
1,0.775106,0.981968,1.34894,0.614996,1,-0.1,-6,3,14
2,0.637328,0.981968,1.46453,0.499405,1,-0.1,-6,3,14
3,0.478069,0.981968,1.53633,0.427607,1,-0.1,-6,3,14
4,0.324551,0.981968,1.55789,0.406046,1,-0.1,-6,3,14
5,0.170217,0.981968,1.53951,0.424427,1,-0.1,-6,3,14
6,0.0247358,0.981968,1.48829,0.475649,1,-0.1,-6,3,14
7,0.101402,0.981968,1.41784,0.5461,1,-0.1,-6,3,14
8,0.194338,0.981968,1.35012,0.613815,1,-0.1,-6,3,14
9,0.253042,0.981968,1.30012,0.663811,1,-0.1,-6,3,14
10,0.276005,0.981968,1.27898,0.684955,1,-0.1,-6,3,14
11,0.26247,0.981968,1.29155,0.672381,1,-0.1,-6,3,14
12,0.210449,0.981968,1.33697,0.626966,1,-0.1,-6,3,14
13,0.14062,0.981968,1.39093,0.573004,1,-0.1,-6,3,14
14,0.0663224,0.981968,1.43987,0.524062,1,-0.1,-6,3,14
