distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.9216,0.942683,0,1.88537,1,-0.1,3,3,9
1,0.668267,0.942683,1.35564,0.529722,1,-0.1,3,3,9
2,0.488267,0.942683,1.46355,0.421817,1,-0.1,3,3,9
3,0.285304,0.942683,1.49876,0.386604,1,-0.1,3,3,9
4,0.100489,0.942683,1.46631,0.419054,1,-0.1,3,3,9
5,0.0584,0.942683,1.39245,0.492921,1,-0.1,3,3,9
6,0.170622,0.942683,1.31372,0.571649,1,-0.1,3,3,9
7,0.224114,0.942683,1.26774,0.617625,1,-0.1,3,3,9
8,0.209233,0.942683,1.28112,0.604251,1,-0.1,3,3,9
9,0.152968,0.942683,1.32765,0.557717,1,-0.1,3,3,9
10,0.0777333,0.942683,1.38051,0.504859,1,-0.1,3,3,9
11,0.00203636,0.942683,1.42354,0.461822,1,-0.1,3,3,9
12,0.0584519,0.942683,1.45091,0.434458,1,-0.1,3,3,9
13,0.095788,0.942683,1.46474,0.420631,1,-0.1,3,3,9
14,0.111124,0.942683,1.46974,0.415625,1,-0.1,3,3,9
