distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.9996,0.999711,0,1.99942,1,-0.1,0,1,5
1,0.341822,0.999711,1.58447,0.414955,1,-0.1,0,1,5
2,0.0648444,0.999711,1.46416,0.53526,1,-0.1,0,1,5
3,0.334474,0.999711,1.25002,0.749402,1,-0.1,0,1,5
4,0.244289,0.999711,1.33395,0.665474,1,-0.1,0,1,5
5,0.0844889,0.999711,1.53671,0.462715,1,-0.1,0,1,5
6,0.271822,0.999711,1.58152,0.417901,1,-0.1,0,1,5
7,0.196743,0.999711,1.56987,0.429553,1,-0.1,0,1,5
8,0.0451222,0.999711,1.47559,0.523831,1,-0.1,0,1,5
9,0.21324,0.999711,1.35992,0.639505,1,-0.1,0,1,5
10,0.157289,0.999711,1.40304,0.596381,1,-0.1,0,1,5
11,0.0232364,0.999711,1.51085,0.488572,1,-0.1,0,1,5
12,0.150896,0.999711,1.55857,0.440852,1,-0.1,0,1,5
13,0.126438,0.999711,1.55127,0.448153,1,-0.1,0,1,5
14,0.00659048,0.999711,1.4963,0.503127,1,-0.1,0,1,5
