distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.995847,0.997002,0,1.994,1,-0.1,3,1,14
1,0.795847,0.997002,1.36566,0.62834,1,-0.1,3,1,14
2,0.662514,0.997002,1.47976,0.514247,1,-0.1,3,1,14
3,0.521773,0.997002,1.54911,0.444894,1,-0.1,3,1,14
4,0.362514,0.997002,1.57966,0.414342,1,-0.1,3,1,14
5,0.20918,0.997002,1.56864,0.425368,1,-0.1,3,1,14
6,0.0551062,0.997002,1.52142,0.47258,1,-0.1,3,1,14
7,0.097169,0.997002,1.44061,0.553391,1,-0.1,3,1,14
8,0.224153,0.997002,1.34708,0.646922,1,-0.1,3,1,14
9,0.302178,0.997002,1.27735,0.716654,1,-0.1,3,1,14
10,0.326375,0.997002,1.25375,0.740258,1,-0.1,3,1,14
11,0.311224,0.997002,1.26864,0.725366,1,-0.1,3,1,14
12,0.263042,0.997002,1.31353,0.680477,1,-0.1,3,1,14
13,0.192187,0.997002,1.37292,0.621089,1,-0.1,3,1,14
14,0.10082,0.997002,1.43826,0.555744,1,-0.1,3,1,14
