distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,1,1,0,2,1,-0.1,0,3,14
1,0.8,1,1.369,0.631004,1,-0.1,0,3,14
2,0.666667,1,1.48336,0.516644,1,-0.1,0,3,14
3,0.533333,1,1.55044,0.449556,1,-0.1,0,3,14
4,0.366667,1,1.58405,0.415947,1,-0.1,0,3,14
5,0.213333,1,1.57358,0.426416,1,-0.1,0,3,14
6,0.0666667,1,1.53012,0.469875,1,-0.1,0,3,14
7,0.0952381,1,1.44583,0.554172,1,-0.1,0,3,14
8,0.233333,1,1.3437,0.656304,1,-0.1,0,3,14
9,0.311111,1,1.27345,0.726547,1,-0.1,0,3,14
10,0.333333,1,1.25163,0.748371,1,-0.1,0,3,14
11,0.315152,1,1.26954,0.730456,1,-0.1,0,3,14
12,0.266667,1,1.31474,0.685255,1,-0.1,0,3,14
13,0.194872,1,1.37499,0.625005,1,-0.1,0,3,14
14,0.104762,1,1.43969,0.560312,1,-0.1,0,3,14
