distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.995556,0.996792,0,1.99358,1,-0.1,0,3,5
1,0.802222,0.996792,1.35812,0.635463,1,-0.1,0,3,5
2,0.662222,0.996792,1.4795,0.514079,1,-0.1,0,3,5
3,0.505926,0.996792,1.55389,0.439693,1,-0.1,0,3,5
4,0.362222,0.996792,1.57935,0.414229,1,-0.1,0,3,5
5,0.235556,0.996792,1.57286,0.420722,1,-0.1,0,3,5
6,0.132222,0.996792,1.54916,0.444419,1,-0.1,0,3,5
7,0.0603175,0.996792,1.52332,0.470268,1,-0.1,0,3,5
8,0.0116667,0.996792,1.50154,0.492044,1,-0.1,0,3,5
9,0.022716,0.996792,1.48407,0.509511,1,-0.1,0,3,5
10,0.0415556,0.996792,1.47377,0.519813,1,-0.1,0,3,5
11,0.0527273,0.996792,1.46742,0.526166,1,-0.1,0,3,5
12,0.0592593,0.996792,1.46362,0.529966,1,-0.1,0,3,5
13,0.0625641,0.996792,1.46167,0.531912,1,-0.1,0,3,5
14,0.0661905,0.996792,1.45952,0.534065,1,-0.1,0,3,5
