distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.896173,0.923751,0,1.8475,1,-0.1,-6,1,9
1,0.569506,0.923751,1.38702,0.460484,1,-0.1,-6,1,9
2,0.357284,0.923751,1.46509,0.382413,1,-0.1,-6,1,9
3,0.127284,0.923751,1.44873,0.398772,1,-0.1,-6,1,9
4,0.0610494,0.923751,1.3655,0.482,1,-0.1,-6,1,9
5,0.201605,0.923751,1.26,0.5875,1,-0.1,-6,1,9
6,0.260123,0.923751,1.20329,0.644216,1,-0.1,-6,1,9
7,0.242875,0.923751,1.22089,0.626614,1,-0.1,-6,1,9
8,0.170494,0.923751,1.28689,0.560617,1,-0.1,-6,1,9
9,0.0396296,0.923751,1.37818,0.469322,1,-0.1,-6,1,9
10,0.0930617,0.923751,1.43827,0.409237,1,-0.1,-6,1,9
11,0.193143,0.923751,1.46311,0.384393,1,-0.1,-6,1,9
12,0.218025,0.923751,1.46656,0.380946,1,-0.1,-6,1,9
13,0.178395,0.923751,1.46055,0.386951,1,-0.1,-6,1,9
14,0.0979189,0.923751,1.43988,0.407627,1,-0.1,-6,1,9
