distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.715556,0.783777,0,1.56755,1,-0.1,1,7,9
1,0.648889,0.783777,0.952906,0.614648,1,-0.1,1,7,9
2,0.582222,0.783777,1.05298,0.514572,1,-0.1,1,7,9
3,0.515556,0.783777,1.12534,0.442212,1,-0.1,1,7,9
4,0.448889,0.783777,1.17861,0.38894,1,-0.1,1,7,9
5,0.382222,0.783777,1.21675,0.350801,1,-0.1,1,7,9
6,0.315556,0.783777,1.24195,0.325608,1,-0.1,1,7,9
7,0.248889,0.783777,1.25547,0.312082,1,-0.1,1,7,9
8,0.190556,0.783777,1.25831,0.309249,1,-0.1,1,7,9
9,0.145185,0.783777,1.25485,0.312704,1,-0.1,1,7,9
10,0.108889,0.783777,1.24852,0.319033,1,-0.1,1,7,9
11,0.0791919,0.783777,1.24095,0.3266,1,-0.1,1,7,9
12,0.0544444,0.783777,1.23297,0.334587,1,-0.1,1,7,9
13,0.0335043,0.783777,1.22498,0.342571,1,-0.1,1,7,9
14,0.0155556,0.783777,1.21722,0.350337,1,-0.1,1,7,9
