distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.885906,0.916058,0,1.83212,1,-0.1,0,3,5
1,0.692573,0.916058,1.26831,0.563803,1,-0.1,0,3,5
2,0.554795,0.916058,1.38036,0.451752,1,-0.1,0,3,5
3,0.397017,0.916058,1.44503,0.387088,1,-0.1,0,3,5
4,0.255351,0.916058,1.45828,0.37384,1,-0.1,0,3,5
5,0.130351,0.916058,1.439,0.393117,1,-0.1,0,3,5
6,0.0425728,0.916058,1.40879,0.42332,1,-0.1,0,3,5
7,0.012824,0.916058,1.3826,0.449517,1,-0.1,0,3,5
8,0.0485383,0.916058,1.3627,0.469411,1,-0.1,0,3,5
9,0.0701432,0.916058,1.3495,0.48262,1,-0.1,0,3,5
10,0.0785383,0.916058,1.34412,0.487996,1,-0.1,0,3,5
11,0.0771241,0.916058,1.34503,0.487081,1,-0.1,0,3,5
12,0.0685383,0.916058,1.35051,0.481608,1,-0.1,0,3,5
13,0.0602477,0.916058,1.35566,0.476458,1,-0.1,0,3,5
14,0.0533002,0.916058,1.35987,0.472245,1,-0.1,0,3,5
