distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.919091,0.940823,0,1.88165,1,-0.1,-3,3,9
1,0.650202,0.940823,1.36636,0.515286,1,-0.1,-3,3,9
2,0.446869,0.940823,1.47413,0.407518,1,-0.1,-3,3,9
3,0.230202,0.940823,1.49251,0.389139,1,-0.1,-3,3,9
4,0.0324247,0.940823,1.43742,0.444228,1,-0.1,-3,3,9
5,0.134242,0.940823,1.33921,0.542431,1,-0.1,-3,3,9
6,0.227575,0.940823,1.26177,0.619876,1,-0.1,-3,3,9
7,0.243448,0.940823,1.24681,0.634835,1,-0.1,-3,3,9
8,0.187853,0.940823,1.29686,0.584785,1,-0.1,-3,3,9
9,0.0922667,0.940823,1.36859,0.513058,1,-0.1,-3,3,9
10,0.00731358,0.940823,1.42571,0.455935,1,-0.1,-3,3,9
11,0.08596,0.940823,1.45882,0.422822,1,-0.1,-3,3,9
12,0.12724,0.940823,1.47204,0.409601,1,-0.1,-3,3,9
13,0.129348,0.940823,1.47264,0.409003,1,-0.1,-3,3,9
14,0.0967104,0.940823,1.46254,0.419104,1,-0.1,-3,3,9
