distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.975802,0.982474,0,1.96495,1,-0.1,6,3,14
1,0.77358,0.982474,1.35188,0.613068,1,-0.1,6,3,14
2,0.626914,0.982474,1.47206,0.492891,1,-0.1,6,3,14
3,0.461728,0.982474,1.54154,0.423411,1,-0.1,6,3,14
4,0.304691,0.982474,1.55843,0.406517,1,-0.1,6,3,14
5,0.152691,0.982474,1.53574,0.429212,1,-0.1,6,3,14
6,0.0165432,0.982474,1.48511,0.479837,1,-0.1,6,3,14
7,0.10134,0.982474,1.41855,0.546396,1,-0.1,6,3,14
8,0.192531,0.982474,1.35228,0.612666,1,-0.1,6,3,14
9,0.24716,0.982474,1.30614,0.658804,1,-0.1,6,3,14
10,0.264642,0.982474,1.29032,0.674626,1,-0.1,6,3,14
11,0.245006,0.982474,1.30806,0.65689,1,-0.1,6,3,14
12,0.198457,0.982474,1.34751,0.617433,1,-0.1,6,3,14
13,0.133941,0.982474,1.39637,0.568578,1,-0.1,6,3,14
14,0.0580071,0.982474,1.44549,0.519461,1,-0.1,6,3,14
