distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.976489,0.982973,0,1.96595,1,-0.1,3,1,9
1,0.643156,0.982973,1.46289,0.503059,1,-0.1,3,1,9
2,0.443156,0.982973,1.54668,0.419271,1,-0.1,3,1,9
3,0.198711,0.982973,1.54714,0.418808,1,-0.1,3,1,9
4,0.0562889,0.982973,1.44715,0.518792,1,-0.1,3,1,9
5,0.246622,0.982973,1.30736,0.658585,1,-0.1,3,1,9
6,0.353881,0.982973,1.20199,0.763954,1,-0.1,3,1,9
7,0.322876,0.982973,1.23458,0.731368,1,-0.1,3,1,9
8,0.216844,0.982973,1.33308,0.632871,1,-0.1,3,1,9
9,0.055363,0.982973,1.4477,0.51825,1,-0.1,3,1,9
10,0.126711,0.982973,1.52892,0.437025,1,-0.1,3,1,9
11,0.249418,0.982973,1.55513,0.410814,1,-0.1,3,1,9
12,0.288526,0.982973,1.5585,0.407443,1,-0.1,3,1,9
13,0.241104,0.982973,1.5541,0.411846,1,-0.1,3,1,9
14,0.132997,0.982973,1.53083,0.435117,1,-0.1,3,1,9
