distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.99998,0.999986,0,1.99997,1,-0.1,0,1,5
1,0.39998,0.999986,1.58127,0.418701,1,-0.1,0,1,5
2,0.0533136,0.999986,1.52459,0.475385,1,-0.1,0,1,5
3,0.38002,0.999986,1.20313,0.796844,1,-0.1,0,1,5
4,0.339464,0.999986,1.24544,0.754527,1,-0.1,0,1,5
5,0.0409086,0.999986,1.47832,0.521652,1,-0.1,0,1,5
6,0.261091,0.999986,1.58078,0.419194,1,-0.1,0,1,5
7,0.354901,0.999986,1.58456,0.41541,1,-0.1,0,1,5
8,0.117758,0.999986,1.54883,0.451138,1,-0.1,0,1,5
9,0.171131,0.999986,1.39319,0.606786,1,-0.1,0,1,5
10,0.309131,0.999986,1.27534,0.724635,1,-0.1,0,1,5
11,0.182242,0.999986,1.38477,0.615204,1,-0.1,0,1,5
12,0.0773877,0.999986,1.53435,0.465621,1,-0.1,0,1,5
13,0.246476,0.999986,1.57894,0.421031,1,-0.1,0,1,5
14,0.200774,0.999986,1.57109,0.42888,1,-0.1,0,1,5
