distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.979773,0.98536,0,1.97072,1,-0.1,-6,3,14
1,0.777551,0.98536,1.3551,0.615623,1,-0.1,-6,3,14
2,0.637551,0.98536,1.47144,0.49928,1,-0.1,-6,3,14
3,0.469402,0.98536,1.5445,0.426222,1,-0.1,-6,3,14
4,0.310328,0.98536,1.56285,0.407865,1,-0.1,-6,3,14
5,0.148662,0.98536,1.53855,0.432167,1,-0.1,-6,3,14
6,0.00356049,0.98536,1.47904,0.491676,1,-0.1,-6,3,14
7,0.124037,0.98536,1.40718,0.563543,1,-0.1,-6,3,14
8,0.209394,0.98536,1.34268,0.628038,1,-0.1,-6,3,14
9,0.258499,0.98536,1.30026,0.670459,1,-0.1,-6,3,14
10,0.26956,0.98536,1.29015,0.680569,1,-0.1,-6,3,14
11,0.239419,0.98536,1.31722,0.653503,1,-0.1,-6,3,14
12,0.185783,0.98536,1.36168,0.609042,1,-0.1,-6,3,14
13,0.113048,0.98536,1.41465,0.55607,1,-0.1,-6,3,14
14,0.0299097,0.98536,1.46521,0.505514,1,-0.1,-6,3,14
