distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.631956,0.715211,0,1.43042,1,-0.1,-6,3,9
1,0.460844,0.715211,1.0193,0.411127,1,-0.1,-6,3,9
2,0.317511,0.715211,1.12018,0.310242,1,-0.1,-6,3,9
3,0.179363,0.715211,1.15347,0.276953,1,-0.1,-6,3,9
4,0.0564,0.715211,1.13723,0.293195,1,-0.1,-6,3,9
5,0.0400444,0.715211,1.09136,0.339064,1,-0.1,-6,3,9
6,0.0954519,0.715211,1.0472,0.383221,1,-0.1,-6,3,9
7,0.111219,0.715211,1.03107,0.399351,1,-0.1,-6,3,9
8,0.101378,0.715211,1.04137,0.389047,1,-0.1,-6,3,9
9,0.0764395,0.715211,1.06427,0.366152,1,-0.1,-6,3,9
10,0.0464889,0.715211,1.08703,0.343396,1,-0.1,-6,3,9
11,0.0153172,0.715211,1.10635,0.324069,1,-0.1,-6,3,9
12,0.014363,0.715211,1.12126,0.309163,1,-0.1,-6,3,9
13,0.0364,0.715211,1.13035,0.300077,1,-0.1,-6,3,9
14,0.0494159,0.715211,1.13497,0.295455,1,-0.1,-6,3,9
