distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,1,1,0,2,1,-0.1,0,1,9
1,0.666667,1,1.48336,0.516644,1,-0.1,0,1,9
2,0.466667,1,1.56997,0.430026,1,-0.1,0,1,9
3,0.222222,1,1.57519,0.42481,1,-0.1,0,1,9
4,0.0333333,1,1.48253,0.517468,1,-0.1,0,1,9
5,0.266667,1,1.31474,0.685255,1,-0.1,0,1,9
6,0.4,1,1.18129,0.818709,1,-0.1,0,1,9
7,0.361905,1,1.22239,0.77761,1,-0.1,0,1,9
8,0.216667,1,1.35753,0.642467,1,-0.1,0,1,9
9,0.0444444,1,1.47635,0.523648,1,-0.1,0,1,9
10,0.133333,1,1.5538,0.446196,1,-0.1,0,1,9
11,0.266667,1,1.58141,0.418588,1,-0.1,0,1,9
12,0.3,1,1.58407,0.415932,1,-0.1,0,1,9
13,0.25641,1,1.58025,0.419755,1,-0.1,0,1,9
14,0.152381,1,1.55938,0.440625,1,-0.1,0,1,9
