distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.995556,0.996792,0,1.99358,1,-0.1,3,1,14
1,0.782222,0.996792,1.37952,0.614063,1,-0.1,3,1,14
2,0.648889,0.996792,1.48806,0.505526,1,-0.1,3,1,14
3,0.468148,0.996792,1.56422,0.429363,1,-0.1,3,1,14
4,0.311111,0.996792,1.57982,0.413758,1,-0.1,3,1,14
5,0.138667,0.996792,1.55111,0.442474,1,-0.1,3,1,14
6,0.0207407,0.996792,1.48512,0.508461,1,-0.1,3,1,14
7,0.187937,0.996792,1.37594,0.617643,1,-0.1,3,1,14
8,0.278889,0.996792,1.29885,0.694728,1,-0.1,3,1,14
9,0.300247,0.996792,1.27887,0.714717,1,-0.1,3,1,14
10,0.277333,0.996792,1.30028,0.693301,1,-0.1,3,1,14
11,0.234343,0.996792,1.33821,0.65537,1,-0.1,3,1,14
12,0.163704,0.996792,1.39434,0.599246,1,-0.1,3,1,14
13,0.082735,0.996792,1.44945,0.544136,1,-0.1,3,1,14
14,0.0184127,0.996792,1.50477,0.488818,1,-0.1,3,1,14
