distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.994291,0.995878,0,1.99176,1,-0.1,0,1,2
1,0.734598,0.995878,0.675848,1.31591,1,-0.1,0,1,2
2,0.527625,0.995878,1.54506,0.446693,1,-0.1,0,1,2
3,0.32719,0.995878,1.25113,0.740629,1,-0.1,0,1,2
4,0.153736,0.995878,1.55418,0.437575,1,-0.1,0,1,2
5,0.031042,0.995878,1.47839,0.51337,1,-0.1,0,1,2
6,0.0323753,0.995878,1.47766,0.514098,1,-0.1,0,1,2
7,0.0466723,0.995878,1.51636,0.475399,1,-0.1,0,1,2
8,0.0332086,0.995878,1.4772,0.514555,1,-0.1,0,1,2
9,0.012563,0.995878,1.50078,0.490979,1,-0.1,0,1,2
10,0.00518025,0.995878,1.49718,0.494575,1,-0.1,0,1,2
11,0.0133854,0.995878,1.48779,0.503969,1,-0.1,0,1,2
12,0.00892099,0.995878,1.49901,0.492743,1,-0.1,0,1,2
13,0.00160608,0.995878,1.49381,0.497951,1,-0.1,0,1,2
14,0.00491499,0.995878,1.49214,0.499621,1,-0.1,0,1,2
