distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.999956,0.999968,0,1.99994,1,-0.1,0,1,9
1,0.646622,0.999968,1.49602,0.503911,1,-0.1,0,1,9
2,0.402178,0.999968,1.58099,0.418942,1,-0.1,0,1,9
3,0.151807,0.999968,1.55917,0.440764,1,-0.1,0,1,9
4,0.0628222,0.999968,1.4657,0.534238,1,-0.1,0,1,9
5,0.235156,0.999968,1.34211,0.657825,1,-0.1,0,1,9
6,0.321896,0.999968,1.26291,0.737026,1,-0.1,0,1,9
7,0.300044,0.999968,1.28398,0.715959,1,-0.1,0,1,9
8,0.1756,0.999968,1.3898,0.610139,1,-0.1,0,1,9
9,0.00893333,0.999968,1.49543,0.504502,1,-0.1,0,1,9
10,0.132622,0.999968,1.55354,0.446393,1,-0.1,0,1,9
11,0.220562,0.999968,1.57485,0.425082,1,-0.1,0,1,9
12,0.238104,0.999968,1.57772,0.42222,1,-0.1,0,1,9
13,0.187648,0.999968,1.56823,0.431707,1,-0.1,0,1,9
14,0.0875746,0.999968,1.53821,0.46173,1,-0.1,0,1,9
