distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.928889,0.948078,0,1.89616,1,-0.1,3,3,9
1,0.655556,0.948078,1.37838,0.51778,1,-0.1,3,3,9
2,0.462222,0.948078,1.48212,0.414039,1,-0.1,3,3,9
3,0.243704,0.948078,1.50436,0.391793,1,-0.1,3,3,9
4,0.0461111,0.948078,1.453,0.443159,1,-0.1,3,3,9
5,0.132,0.948078,1.35084,0.545315,1,-0.1,3,3,9
6,0.225185,0.948078,1.27482,0.62134,1,-0.1,3,3,9
7,0.239683,0.948078,1.26145,0.634703,1,-0.1,3,3,9
8,0.185278,0.948078,1.30941,0.586744,1,-0.1,3,3,9
9,0.0955556,0.948078,1.3762,0.519961,1,-0.1,3,3,9
10,0.00155556,0.948078,1.43249,0.463669,1,-0.1,3,3,9
11,0.0793939,0.948078,1.46617,0.429982,1,-0.1,3,3,9
12,0.123148,0.948078,1.48072,0.415437,1,-0.1,3,3,9
13,0.122222,0.948078,1.48044,0.415712,1,-0.1,3,3,9
14,0.0879365,0.948078,1.46926,0.426894,1,-0.1,3,3,9
