distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.99998,0.999986,0,1.99997,1,-0.1,0,7,9
1,0.924425,0.999986,1.19422,0.805755,1,-0.1,0,7,9
2,0.857758,0.999986,1.29893,0.701041,1,-0.1,0,7,9
3,0.791091,0.999986,1.37847,0.621504,1,-0.1,0,7,9
4,0.724425,0.999986,1.44059,0.559377,1,-0.1,0,7,9
5,0.657758,0.999986,1.48911,0.51086,1,-0.1,0,7,9
6,0.591091,0.999986,1.52627,0.473705,1,-0.1,0,7,9
7,0.523155,0.999986,1.55396,0.446012,1,-0.1,0,7,9
8,0.455536,0.999986,1.57239,0.427578,1,-0.1,0,7,9
9,0.388128,0.999986,1.58247,0.417503,1,-0.1,0,7,9
10,0.321091,0.999986,1.58482,0.415151,1,-0.1,0,7,9
11,0.254526,0.999986,1.57999,0.419978,1,-0.1,0,7,9
12,0.188128,0.999986,1.56836,0.43161,1,-0.1,0,7,9
13,0.12169,0.999986,1.55012,0.449854,1,-0.1,0,7,9
14,0.0566469,0.999986,1.52599,0.473983,1,-0.1,0,7,9
