distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.745536,0.807737,0,1.61547,1,-0.1,0,3,5
1,0.618869,0.807737,1.07045,0.54502,1,-0.1,0,3,5
2,0.52998,0.807737,1.16701,0.448469,1,-0.1,0,3,5
3,0.42998,0.807737,1.23788,0.377595,1,-0.1,0,3,5
4,0.341647,0.807737,1.27538,0.340092,1,-0.1,0,3,5
5,0.261091,0.807737,1.29215,0.323326,1,-0.1,0,3,5
6,0.195906,0.807737,1.2945,0.320972,1,-0.1,0,3,5
7,0.142679,0.807737,1.28923,0.326245,1,-0.1,0,3,5
8,0.0985914,0.807737,1.27998,0.335498,1,-0.1,0,3,5
9,0.0561531,0.807737,1.26681,0.348663,1,-0.1,0,3,5
10,0.0202025,0.807737,1.25228,0.36319,1,-0.1,0,3,5
11,0.0114339,0.807737,1.23682,0.378656,1,-0.1,0,3,5
12,0.037242,0.807737,1.22224,0.393234,1,-0.1,0,3,5
13,0.0573702,0.807737,1.20957,0.405901,1,-0.1,0,3,5
14,0.073988,0.807737,1.19821,0.417266,1,-0.1,0,3,5
