distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.938054,0.954842,0,1.90968,1,-0.1,3,3,9
1,0.680277,0.954842,1.37348,0.536208,1,-0.1,3,3,9
2,0.50361,0.954842,1.47975,0.429932,1,-0.1,3,3,9
3,0.296573,0.954842,1.5171,0.392582,1,-0.1,3,3,9
4,0.109721,0.954842,1.48572,0.423968,1,-0.1,3,3,9
5,0.0681679,0.954842,1.40273,0.50695,1,-0.1,3,3,9
6,0.19602,0.954842,1.31015,0.599538,1,-0.1,3,3,9
7,0.272104,0.954842,1.24065,0.66903,1,-0.1,3,3,9
8,0.266112,0.954842,1.24655,0.663134,1,-0.1,3,3,9
9,0.210588,0.954842,1.29772,0.611965,1,-0.1,3,3,9
10,0.128835,0.954842,1.36239,0.54729,1,-0.1,3,3,9
11,0.0336629,0.954842,1.42289,0.486791,1,-0.1,3,3,9
12,0.0582395,0.954842,1.46701,0.442675,1,-0.1,3,3,9
13,0.138738,0.954842,1.49437,0.415318,1,-0.1,3,3,9
14,0.184086,0.954842,1.50514,0.404549,1,-0.1,3,3,9
