distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.976489,0.982973,0,1.96595,1,-0.1,3,1,9
1,0.643156,0.982973,1.46289,0.503059,1,-0.1,3,1,9
2,0.443156,0.982973,1.54668,0.419271,1,-0.1,3,1,9
3,0.198711,0.982973,1.54714,0.418808,1,-0.1,3,1,9
4,0.0568444,0.982973,1.44683,0.519117,1,-0.1,3,1,9
5,0.243956,0.982973,1.30972,0.656222,1,-0.1,3,1,9
6,0.356474,0.982973,1.19919,0.76676,1,-0.1,3,1,9
7,0.323511,0.982973,1.23393,0.732018,1,-0.1,3,1,9
8,0.216567,0.982973,1.33331,0.632638,1,-0.1,3,1,9
9,0.058079,0.982973,1.4461,0.519842,1,-0.1,3,1,9
10,0.130044,0.982973,1.52994,0.436006,1,-0.1,3,1,9
11,0.247802,0.982973,1.55494,0.411006,1,-0.1,3,1,9
12,0.290193,0.982973,1.55859,0.407355,1,-0.1,3,1,9
13,0.242985,0.982973,1.55434,0.411603,1,-0.1,3,1,9
14,0.132203,0.982973,1.53059,0.435355,1,-0.1,3,1,9
