distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.93124,0.949815,0,1.89963,1,-0.1,0,7,9
1,0.855684,0.949815,1.14203,0.757604,1,-0.1,0,7,9
2,0.789017,0.949815,1.24482,0.654815,1,-0.1,0,7,9
3,0.722351,0.949815,1.32228,0.577352,1,-0.1,0,7,9
4,0.655684,0.949815,1.38216,0.517466,1,-0.1,0,7,9
5,0.589017,0.949815,1.42825,0.471381,1,-0.1,0,7,9
6,0.522351,0.949815,1.46276,0.436874,1,-0.1,0,7,9
7,0.454414,0.949815,1.4875,0.412132,1,-0.1,0,7,9
8,0.386795,0.949815,1.5027,0.396927,1,-0.1,0,7,9
9,0.319388,0.949815,1.50922,0.390409,1,-0.1,0,7,9
10,0.252351,0.949815,1.50764,0.391985,1,-0.1,0,7,9
11,0.186189,0.949815,1.49854,0.40109,1,-0.1,0,7,9
12,0.125314,0.949815,1.48372,0.415914,1,-0.1,0,7,9
13,0.0734617,0.949815,1.46628,0.43335,1,-0.1,0,7,9
14,0.0293347,0.949815,1.44796,0.451666,1,-0.1,0,7,9
