distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.996914,0.997772,0,1.99554,1,-0.1,0,1,2
1,0.771975,0.997772,0.611917,1.38363,1,-0.1,0,1,2
2,0.59358,0.997772,1.52079,0.474754,1,-0.1,0,1,2
3,0.432716,0.997772,1.13975,0.855797,1,-0.1,0,1,2
4,0.310247,0.997772,1.58124,0.4143,1,-0.1,0,1,2
5,0.223086,0.997772,1.34907,0.646474,1,-0.1,0,1,2
6,0.161358,0.997772,1.5588,0.436748,1,-0.1,0,1,2
7,0.112928,0.997772,1.43134,0.564202,1,-0.1,0,1,2
8,0.0744136,0.997772,1.53027,0.465272,1,-0.1,0,1,2
9,0.041358,0.997772,1.47517,0.520378,1,-0.1,0,1,2
10,0.0138025,0.997772,1.50385,0.491694,1,-0.1,0,1,2
11,0.00398429,0.997772,1.49907,0.496476,1,-0.1,0,1,2
12,0.0164198,0.997772,1.48868,0.506862,1,-0.1,0,1,2
13,0.021529,0.997772,1.50752,0.488029,1,-0.1,0,1,2
14,0.0218166,0.997772,1.48583,0.509711,1,-0.1,0,1,2
