distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.997156,0.997947,0,1.99589,1,-0.1,0,1,2
1,0.762844,0.997947,0.631649,1.36424,1,-0.1,0,1,2
2,0.5716,0.997947,1.53137,0.464522,1,-0.1,0,1,2
3,0.396919,0.997947,1.18104,0.814857,1,-0.1,0,1,2
4,0.258822,0.997947,1.57761,0.418287,1,-0.1,0,1,2
5,0.163289,0.997947,1.39623,0.599667,1,-0.1,0,1,2
6,0.0993778,0.997947,1.53983,0.456063,1,-0.1,0,1,2
7,0.0603048,0.997947,1.46452,0.531371,1,-0.1,0,1,2
8,0.0399333,0.997947,1.51613,0.479768,1,-0.1,0,1,2
9,0.0364247,0.997947,1.47814,0.517753,1,-0.1,0,1,2
10,0.0404889,0.997947,1.51637,0.479523,1,-0.1,0,1,2
11,0.0436525,0.997947,1.47411,0.521787,1,-0.1,0,1,2
12,0.0412296,0.997947,1.5167,0.479196,1,-0.1,0,1,2
13,0.0291692,0.997947,1.48211,0.51378,1,-0.1,0,1,2
14,0.0101714,0.997947,1.50233,0.493567,1,-0.1,0,1,2
