distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.972222,0.979869,0,1.95974,1,-0.1,6,3,14
1,0.77,0.979869,1.34898,0.610762,1,-0.1,6,3,14
2,0.624444,0.979869,1.46821,0.491525,1,-0.1,6,3,14
3,0.454444,0.979869,1.53891,0.420831,1,-0.1,6,3,14
4,0.299444,0.979869,1.55441,0.405326,1,-0.1,6,3,14
5,0.148667,0.979869,1.53111,0.428626,1,-0.1,6,3,14
6,0.012963,0.979869,1.47998,0.479758,1,-0.1,6,3,14
7,0.0995238,0.979869,1.41626,0.543478,1,-0.1,6,3,14
8,0.185833,0.979869,1.35395,0.605788,1,-0.1,6,3,14
9,0.238642,0.979869,1.30984,0.649898,1,-0.1,6,3,14
10,0.254222,0.979869,1.29592,0.663813,1,-0.1,6,3,14
11,0.239293,0.979869,1.30927,0.650471,1,-0.1,6,3,14
12,0.193889,0.979869,1.34752,0.612217,1,-0.1,6,3,14
13,0.131026,0.979869,1.39489,0.564844,1,-0.1,6,3,14
14,0.0580952,0.979869,1.442,0.517742,1,-0.1,6,3,14
