distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.992869,0.99485,0,1.9897,1,-0.1,3,3,14
1,0.779536,0.99485,1.37735,0.612354,1,-0.1,3,3,14
2,0.630647,0.99485,1.4951,0.494602,1,-0.1,3,3,14
3,0.455832,0.99485,1.56376,0.425936,1,-0.1,3,3,14
4,0.293425,0.99485,1.57616,0.413535,1,-0.1,3,3,14
5,0.131536,0.99485,1.54635,0.44335,1,-0.1,3,3,14
6,0.00194568,0.99485,1.49229,0.49741,1,-0.1,3,3,14
7,0.114115,0.99485,1.42665,0.563054,1,-0.1,3,3,14
8,0.192409,0.99485,1.36974,0.619964,1,-0.1,3,3,14
9,0.244415,0.99485,1.32675,0.662947,1,-0.1,3,3,14
10,0.259131,0.99485,1.31382,0.675879,1,-0.1,3,3,14
11,0.245111,0.99485,1.32615,0.663551,1,-0.1,3,3,14
12,0.195649,0.99485,1.36718,0.62252,1,-0.1,3,3,14
13,0.130379,0.99485,1.41558,0.574117,1,-0.1,3,3,14
14,0.0487182,0.99485,1.46717,0.522532,1,-0.1,3,3,14
