"p","Fraction of Unstable Imprints","Stable Imprints"
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0.005,7.96
8,0.0155556,8.86
9,0.028,9.72
10,0.0636364,10.3
11,0.0816667,11.02
12,0.127692,11.34
13,0.181429,11.46
14,0.249333,11.26
15,0.34125,10.54
16,0.396471,10.26
17,0.477778,9.4
18,0.552632,8.5
19,0.595,8.1
20,0.668571,6.96
21,0.747273,5.56
22,0.776522,5.14
23,0.825833,4.18
24,0.8672,3.32
25,0.899231,2.62
26,0.927407,1.96
27,0.940714,1.66
28,0.96,1.16
29,0.970667,0.88
30,0.970323,0.92
31,0.98,0.64
32,0.984242,0.52
33,0.990588,0.32
34,0.989143,0.38
35,0.996111,0.14
36,0.995135,0.18
37,0.998421,0.06
38,0.997949,0.08
39,0.9995,0.02
40,1,0
41,0.999048,0.04
42,0.99907,0.04
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
