"p","Fraction of Unstable Imprints","Stable Imprints"
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,9
9,0,10
10,0,11
11,0,12
12,0.00461538,12.94
13,0.00571429,13.92
14,0.012,14.82
15,0.0225,15.64
16,0.0352941,16.4
17,0.0466667,17.16
18,0.0642105,17.78
19,0.094,18.12
20,0.121905,18.44
21,0.155455,18.58
22,0.18087,18.84
23,0.221667,18.68
24,0.2808,17.98
25,0.326923,17.5
26,0.36,17.28
27,0.407143,16.6
28,0.442759,16.16
29,0.489333,15.32
30,0.530968,14.54
31,0.58,13.44
32,0.616364,12.66
33,0.665882,11.36
34,0.702286,10.42
35,0.739444,9.38
36,0.772973,8.4
37,0.808421,7.28
38,0.837436,6.34
39,0.86,5.6
40,0.880488,4.9
41,0.90381,4.04
42,0.920465,3.42
43,0.935455,2.84
44,0.936889,2.84
45,0.945652,2.5
46,0.959149,1.92
47,0.972083,1.34
48,0.973878,1.28
49,0.9796,1.02
