Your, Name, ,,,,,,
Wrap:,TRUE,,,,,,,
K(states):,5,,,,,,,
Radius:,1,,,,,,,
Quiescence:,TRUE,,,,,,,
random seed:,-3.48325E+18,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment #:,0,,,,,,,
Rule:,2.41141E+11,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
3,2,,0.84,0.692307692,1.761504552,1.884313528,0,
4,3,,0.76,0.615384615,1.861247903,1.884313528,0,
5,10,,0.712,0.538461538,1.833049501,1.738149333,0,
6,5,,0.568,0.461538462,1.833049501,1.669180337,0,
7,8,,0.448,0.384615385,1.459255402,1.488525295,0,
8,12,,0.44,0.307692308,1.398762413,1.140115679,0,
9,4,,0.32,0.230769231,1.223804139,0.991264261,0,
10,1,,0.296,0.153846154,1.172190243,0.773228349,0,
11,6,,0.144,0.076923077,0.594619344,0.391243564,0,
12,7,,0,0,0,0,0,
