"Generation","Average Fitness","Best Fitness Individual","Average Correct Bits"
0,0.0817544789884609,0.7390676488710157,15.1
1,0.5019574281967982,0.8007832380017225,15.133333333333333
2,0.5874761595025145,0.938316758076162,15.4
3,0.6747561046953983,0.9384599171349288,15.733333333333333
4,0.6214076758594763,0.9406271501818035,15.466666666666667
5,0.6481418800280073,0.9384629340913271,15.433333333333334
6,0.6441916036010668,0.9406452015278547,16.066666666666666
7,0.714818444482642,0.9761620685375533,16.4
8,0.7180768424531716,0.9761620685375533,17.566666666666666
9,0.6535779127974718,0.9797705603146057,17.633333333333333
